Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Marvelous Nakamba,zw ZIM,MF,27.0,10.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Calum Chambers,eng ENG,DF,26.0,9.2,1,3,1,33.3,0.32,0.11,0.33,1.0,14.6,0.0,0,0,0.2,0.2,0.06,0.8,0.8,Matches
Leon Bailey,jm JAM,"FW,MF",23.0,8.5,1,21,8,38.1,2.48,0.95,0.05,0.13,19.4,4.0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
Axel Tuanzebe,eng ENG,DF,23.0,5.6,0,2,1,50.0,0.35,0.18,0.0,0.0,10.1,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Kortney Hause,eng ENG,DF,26.0,4.4,1,2,2,100.0,0.45,0.45,0.5,0.5,10.5,0.0,0,0,0.1,0.1,0.06,0.9,0.9,Matches
Anwar El Ghazi,nl NED,"FW,MF",26.0,4.3,1,7,2,28.6,1.63,0.47,0.0,0.0,22.3,0.0,1,1,1.1,0.3,0.04,-0.1,-0.3,Matches
Morgan Sanson,fr FRA,MF,26.0,4.0,0,1,0,0.0,0.25,0.0,0.0,,33.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Carney Chukwuemeka,eng ENG,"MF,FW",17.0,3.3,0,4,1,25.0,1.2,0.3,0.0,0.0,17.1,0.0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
Bertrand Traoré,bf BFA,"MF,FW",25.0,2.4,0,8,1,12.5,3.27,0.41,0.0,0.0,18.5,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Tim Iroegbunam,eng ENG,MF,18.0,1.0,0,1,0,0.0,0.98,0.0,0.0,,11.2,0.0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Robin Olsen,se SWE,GK,31.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Jed Steer,eng ENG,GK,28.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Cameron Archer,eng ENG,"FW,MF",20.0,0.3,0,1,0,0.0,3.33,0.0,0.0,,12.6,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Keinan Davis,eng ENG,FW,23.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Trézéguet,eg EGY,FW,26.0,0.1,0,1,0,0.0,8.18,0.0,0.0,,22.0,0.0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Jaden Philogene Bidace,eng ENG,FW,19.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Wesley Moraes,br BRA,FW,24.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.1,38.0,50,461,159,34.5,12.13,4.18,0.1,0.3,17.6,20.0,3,3,44.0,42.0,0.09,6.0,5.0,
Opponent Total,,,26.7,38.0,52,471,144,30.6,12.39,3.79,0.1,0.33,17.4,22.0,4,6,49.0,44.1,0.1,3.0,3.9,
James Ward-Prowse,eng ENG,MF,26.0,35.7,10,51,20,39.2,1.43,0.56,0.12,0.3,27.9,23.0,4,4,5.4,2.2,0.04,4.6,3.8,Matches
Oriol Romeu,es ESP,MF,29.0,32.1,2,24,4,16.7,0.75,0.12,0.08,0.5,22.4,0.0,0,0,1.4,1.4,0.06,0.6,0.6,Matches
Mohammed Salisu,gh GHA,DF,22.0,33.0,0,24,9,37.5,0.73,0.27,0.0,0.0,12.2,0.0,0,0,2.0,2.0,0.08,-2.0,-2.0,Matches
Jan Bednarek,pl POL,DF,25.0,29.2,4,19,7,36.8,0.65,0.24,0.21,0.57,8.9,0.0,0,0,2.2,2.2,0.12,1.8,1.8,Matches
Kyle Walker-Peters,eng ENG,DF,24.0,29.3,1,26,7,26.9,0.89,0.24,0.04,0.14,18.6,0.0,0,0,1.1,1.1,0.04,-0.1,-0.1,Matches
Valentino Livramento,eng ENG,DF,18.0,24.5,1,12,3,25.0,0.49,0.12,0.08,0.33,15.9,0.0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
Mohamed Elyounoussi,no NOR,"MF,FW",26.0,22.7,4,43,17,39.5,1.9,0.75,0.09,0.24,14.7,0.0,0,0,5.5,5.5,0.14,-1.5,-1.5,Matches
Che Adams,sct SCO,FW,25.0,22.7,7,49,24,49.0,2.16,1.06,0.14,0.29,13.3,0.0,0,0,7.1,7.1,0.15,-0.1,-0.1,Matches
