Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Alex Oxlade-Chamberlain,eng ENG,"MF,FW",27.0,8.7,15.0,11,2.0,8.0,5.0,3.0,14.0,21.4,11.0,12.0,2.0,10.0,6,21.0,5.0,0.0,Matches
Harvey Elliott,eng ENG,MF,18.0,3.8,3.0,0,1.0,1.0,1.0,0.0,6.0,0.0,6.0,8.0,1.0,7.0,4,7.0,2.0,0.0,Matches
Joe Gomez,eng ENG,DF,24.0,3.7,10.0,6,5.0,2.0,3.0,5.0,9.0,55.6,4.0,4.0,1.0,3.0,5,15.0,6.0,0.0,Matches
Caoimhín Kelleher,ie IRL,GK,22.0,2.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,Matches
Takumi Minamino,jp JPN,"FW,MF",26.0,2.1,3.0,2,1.0,1.0,1.0,2.0,8.0,25.0,6.0,2.0,0.0,2.0,1,4.0,2.0,0.0,Matches
Tyler Morton,eng ENG,MF,18.0,0.7,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3,3.0,0.0,0.0,Matches
Divock Origi,be BEL,FW,26.0,1.5,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1,1.0,2.0,0.0,Matches
Kaide Gordon,eng ENG,FW,16.0,0.1,1.0,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Matches
Neco Williams,wls WAL,DF,20.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
Squad Total,,,27.7,38.0,554.0,320,207.0,240.0,107.0,233.0,576.0,40.5,343.0,359.0,74.0,285.0,340,894.0,523.0,8.0,
